timestep,mean,eplength,std
50000,0,505.35,0.00
100000,0,508.15,0.00
150000,321.25,961.6,147.68
200000,280.25,918.5,128.40
250000,282.5,762.75,173.73
300000,290.25,811.95,180.45
350000,280.75,818.95,137.02
400000,279.75,934.2,188.14
450000,270.75,832.1,150.36
500000,342.25,956.05,184.47
550000,367.25,990.3,168.30
600000,328.75,874.8,213.71
650000,308,920.95,92.60
700000,292.5,747.3,147.59
750000,358.5,894.3,134.88
800000,400,987.45,149.50
850000,421.5,1048.3,172.57
900000,428.75,1027.2,215.96
950000,349,958.75,199.79
1000000,463.75,1063.95,163.99
1050000,383.75,999.9,223.80
1100000,458.75,1105.55,189.13
1150000,363.25,895.7,190.15
1200000,431.75,1045.5,134.61
1250000,365,899.1,182.63
1300000,432.25,1051.05,141.12
1350000,491.25,1085.45,197.58
1400000,431,1067.2,165.84
1450000,512.75,1058.15,169.23
1500000,468,1060.2,265.50
1550000,507.5,1130.4,139.68
1600000,532.5,1186.95,197.94
1650000,528.25,1127.35,136.76
1700000,549.25,1206.95,215.29
1750000,458.25,1077.5,149.63
1800000,453,1027.65,150.51
1850000,440.5,1036.2,159.03
1900000,461.5,1102.1,211.64
1950000,532.5,1111.95,220.16
2000000,561.25,1265.95,222.09
2050000,481,1081,207.69
2100000,531.25,1209.3,150.31
2150000,631.25,1286.35,251.79
2200000,613.25,1245.2,245.44
2250000,513.25,1188.1,120.39
2300000,619.75,1281.3,233.79
2350000,590,1251,191.08
2400000,532.5,1095.75,133.36
2450000,570.75,1270.7,127.64
2500000,555.5,1122.25,146.55
2550000,535,1206.1,231.37
2600000,601.25,1250.65,277.17
2650000,586.75,1211.9,121.02
2700000,490.75,1121.9,175.03
2750000,555.25,1174.8,185.62
2800000,527,1145.6,106.33
2850000,576.5,1181.75,193.14
2900000,614,1337.2,187.02
2950000,636,1337.25,223.59
3000000,587.75,1254.1,161.05
3050000,690.25,1407.65,242.72
3100000,561.75,1317.05,228.84
3150000,578,1245.1,203.60
3200000,609.5,1302.6,191.14
3250000,546.5,1188.6,139.77
3300000,595.25,1229.2,149.53
3350000,556.75,1233.75,139.73
3400000,497,1198.2,179.31
3450000,562.5,1338.95,224.02
3500000,575.5,1273.45,141.25
3550000,505.25,1190.45,207.75
3600000,620.25,1335.65,258.10
3650000,659,1367.95,279.02
3700000,592,1322.3,213.43
3750000,577.25,1203.3,190.34
3800000,526.75,1266.5,256.46
3850000,644.75,1306.95,329.85
3900000,610.75,1285.6,236.77
3950000,618,1344.1,179.75
4000000,545.75,1211.5,141.75
